account_id,customer_id,customer_name,account_type,account_open_date,kyc_status,risk_rating,registered_country,avg_monthly_txn_count,avg_monthly_txn_amount,home_branch,occupation,annual_income
ACC000001,CUST100000,Aryan Maharaj,current,2016-11-22,verified,low,India,12,185435.45,Jaipur - Sector 5 Branch,Salaried - Govt,2730927.65
ACC000002,CUST100001,Udant Dewan,savings,2015-07-17,verified,low,India,39,53715.22,Jaipur - Sector 5 Branch,Retired,1132303.49
ACC000003,CUST100002,Gagan Sami,current,2019-09-25,verified,medium,India,48,108540.53,Hyderabad - Central Branch,Self Employed - Trader,1110155.45
ACC000004,CUST100003,Ayushman Chander,business,2020-09-22,verified,low,India,58,89269.15,Hyderabad - MG Road Branch,Salaried - IT,3332441.32
ACC000005,CUST100004,Viraj Tiwari,savings,2024-02-15,pending,low,India,39,76828.68,Lucknow - Main Branch,Freelancer,2674161.27
ACC000006,CUST100005,Rushil Saini,business,2016-03-08,verified,low,India,9,214552.84,Mumbai - Sector 5 Branch,Retired,1380845.97
ACC000007,CUST100006,Saumya Mall,business,2021-03-16,verified,low,India,48,234480.37,Mumbai - MG Road Branch,Unemployed,2923106.21
ACC000008,CUST100007,Nathaniel Sami,salary,2024-02-02,verified,medium,India,21,247433.22,Jaipur - Main Branch,Business Owner,3137533.56
ACC000009,CUST100008,Arunima Dugal,business,2015-12-14,verified,low,India,29,70596.51,Chennai - Central Branch,Unemployed,3965908.15
ACC000010,CUST100009,Gayathri Chaudry,salary,2020-05-09,verified,low,India,13,69895.64,Chennai - Main Branch,Salaried - Finance,2508381.89
ACC000011,CUST100010,Lajita Chatterjee,current,2022-04-16,verified,medium,India,12,129833.94,Mumbai - Central Branch,Salaried - IT,3899964.57
ACC000012,CUST100011,Hemangini Lalla,salary,2017-08-07,verified,low,India,42,20564.29,Kolkata - MG Road Branch,Unemployed,4483244.36
ACC000013,CUST100012,Tripti Yadav,savings,2024-01-01,verified,low,India,47,181576.85,Jaipur - Sector 5 Branch,Student,3500346.53
ACC000014,CUST100013,Kritika Brar,salary,2020-10-14,verified,low,India,4,238684.9,Hyderabad - MG Road Branch,Salaried - Finance,3471676.7
ACC000015,CUST100014,Janaki Handa,business,2023-08-21,pending,high,India,57,161542.63,Lucknow - Sector 5 Branch,Business Owner,840265.64
ACC000016,CUST100015,Chakradev Kari,savings,2017-09-30,verified,low,India,42,84418.23,Bengaluru - Central Branch,Salaried - Govt,4193706.02
ACC000017,CUST100016,Fariq Kaul,savings,2020-03-25,verified,low,India,9,184317.36,Mumbai - MG Road Branch,Salaried - Finance,3488404.73
ACC000018,CUST100017,Lajita Mall,current,2017-03-08,pending,medium,India,20,134280.08,Lucknow - Sector 5 Branch,Retired,4346047.75
ACC000019,CUST100018,Janya Gaba,business,2024-03-05,verified,medium,India,29,248811.59,Pune - Main Branch,Homemaker,4066332.85
ACC000020,CUST100019,Isha Kadakia,business,2022-09-06,verified,low,India,5,149135.64,Chennai - Sector 5 Branch,Unemployed,1131339.1
ACC000021,CUST100020,Ekbal Garg,savings,2016-03-17,verified,medium,India,6,215610.67,Mumbai - MG Road Branch,Salaried - Finance,1208180.02
ACC000022,CUST100021,Nihal Shere,salary,2023-04-05,verified,low,India,19,197231.76,Kolkata - Sector 5 Branch,Business Owner,587487.44
ACC000023,CUST100022,Anamika Kanda,savings,2022-05-02,verified,low,India,47,165096.59,Mumbai - Sector 5 Branch,Salaried - IT,1919323.94
ACC000024,CUST100023,Daksh Karnik,current,2020-10-09,verified,medium,India,16,136390.01,Delhi - MG Road Branch,Retired,972668.31
ACC000025,CUST100024,Diya Rattan,salary,2022-11-14,pending,low,India,55,216030.53,Jaipur - Main Branch,Salaried - Govt,398541.58
ACC000026,CUST100025,Dominic Kakar,current,2024-03-13,rejected,medium,India,14,104571.44,Ahmedabad - Sector 5 Branch,Business Owner,3915289.7
ACC000027,CUST100026,Simon Tata,salary,2015-12-31,verified,low,India,20,231996.93,Ahmedabad - Central Branch,Student,2007392.34
ACC000028,CUST100027,Tara Dhar,current,2024-06-15,verified,medium,India,22,58336.72,Bengaluru - Main Branch,Unemployed,3358384.61
ACC000029,CUST100028,Liam Koshy,salary,2016-01-14,verified,medium,India,36,230249.85,Jaipur - Central Branch,Self Employed - Trader,425719.78
ACC000030,CUST100029,Priya Rastogi,savings,2023-08-22,verified,low,India,47,216145.7,Kolkata - Central Branch,Salaried - Govt,4247695.27
ACC000031,CUST100030,Theodore Devi,savings,2024-09-09,verified,low,India,30,166056.43,Lucknow - MG Road Branch,Salaried - Finance,1546717.73
ACC000032,CUST100031,Gavin Batta,current,2019-06-09,verified,low,India,20,101967.53,Hyderabad - Main Branch,Homemaker,1545885.49
ACC000033,CUST100032,Michael Dutta,savings,2016-03-26,verified,low,India,8,136720.43,Jaipur - MG Road Branch,Student,752212.38
ACC000034,CUST100033,Devansh Rajan,business,2020-12-08,pending,medium,India,22,43647.97,Jaipur - Sector 5 Branch,Student,2822447.95
ACC000035,CUST100034,Upadhriti Wadhwa,business,2023-12-31,verified,low,India,46,30378.69,Delhi - MG Road Branch,Student,678651.86
ACC000036,CUST100035,Advay Contractor,business,2016-10-27,verified,medium,India,42,56604.27,Pune - Central Branch,Business Owner,3149987.6
ACC000037,CUST100036,Harini Choudhury,savings,2019-06-29,verified,low,India,9,160399.69,Hyderabad - Central Branch,Salaried - IT,195317.38
ACC000038,CUST100037,Radhika Dugar,salary,2017-03-23,verified,low,India,39,177888.52,Jaipur - Main Branch,Salaried - IT,663295.16
