beneficiary_id,account_id,beneficiary_name,beneficiary_account_number,beneficiary_bank,beneficiary_ifsc_swift,relationship_to_account_holder,date_added,is_first_time_beneficiary,is_verified,beneficiary_risk_flag,total_transfers_to_date
BENE000001,ACC000001,Arunima Chacko,JCQG2856914630316,Union Bank of India,DOTTGBDT,self,2018-07-30,False,True,none,12
BENE000002,ACC000001,Jagdish Arora,WEWA2758842524105,State Bank of India,ZNIQGBEQ,business_partner,2016-12-18,False,True,watchlist,32
BENE000003,ACC000002,Watika Shah,QLBP9252419138000,Union Bank of India,HBPLGBYJ,family,2023-01-07,False,True,none,22
BENE000004,ACC000002,Balendra Saini,HKHN5419518023806,IndusInd Bank,COJYGBTU,family,2024-04-15,False,True,none,20
BENE000005,ACC000002,Tanmayi Anand,LGJS4937597383206,Punjab National Bank,AHRLGBAV,self,2024-05-19,True,True,none,23
BENE000006,ACC000002,Krisha Mohanty,DGQH6702410386571,Kotak Mahindra Bank,SDQEGBZE,employer,2016-03-25,False,True,none,7
BENE000007,ACC000003,Radhika De,HJIK6557431329121,Punjab National Bank,FOOKGB0H,employer,2025-12-29,False,True,none,28
BENE000008,ACC000003,Sarthak Seth,JOID1249035213568,IDFC First Bank,BVJIGBLB,vendor,2022-03-15,True,False,none,4
BENE000009,ACC000003,Sneha Krish,DODZ2100323651994,Yes Bank,CACGGB2I,family,2019-11-03,False,False,none,25
BENE000010,ACC000003,Garima Das,BOBF9667066253244,IDFC First Bank,OEBTGBPS,unknown/first-time,2025-06-26,False,True,none,25
BENE000011,ACC000004,Nisha Srinivas,BCIM2638380657875,Union Bank of India,SQKMGBRL,self,2022-02-28,False,True,none,12
BENE000012,ACC000004,Eiravati Kanda,AZYI0785932133480,Axis Bank,YHSZGBYW,employer,2024-03-01,False,True,none,27
BENE000013,ACC000004,Patrick Khalsa,SKZX5905992937842,Punjab National Bank,PBCBGBOO,friend,2025-09-03,False,True,none,25
BENE000014,ACC000004,Vanya Acharya,KTGZ2525002921851,Punjab National Bank,LWVMGBGV,unknown/first-time,2025-11-08,False,False,high_risk,32
BENE000015,ACC000005,Ekantika Deshpande,FXNZ7528953926442,Punjab National Bank,FXAWGBZC,self,2024-05-19,True,True,none,14
BENE000016,ACC000005,Eesha Kant,USDP2513552157043,State Bank of India,HWCLGBQG,self,2024-05-02,False,True,none,31
BENE000017,ACC000005,Chanakya Raju,OXNF6765861793271,HDFC Bank,ZBJAGBUQ,family,2024-12-08,False,True,none,39
BENE000018,ACC000006,Ethan Oommen,FMFX1815997062962,IDFC First Bank,BDKGGBM0,business_partner,2024-07-22,True,False,none,31
BENE000019,ACC000007,Baghyawati Mishra,HDBM9872050614973,Kotak Mahindra Bank,DAGFGBSF,employer,2024-02-16,False,True,high_risk,2
BENE000020,ACC000007,Jack Morar,ZMPP4186256527047,ICICI Bank,OIHIGBDJ,vendor,2025-01-12,False,True,watchlist,28
BENE000021,ACC000007,Frederick Padmanabhan,ZRNY9380686879374,HDFC Bank,CMWBGB67,self,2022-09-16,False,True,watchlist,10
BENE000022,ACC000007,Jai Sen,FFGZ3206163294511,IndusInd Bank,MRMRGBUR,family,2023-11-11,False,False,none,7
BENE000023,ACC000008,Advik Virk,ZNDN2299911914856,IDFC First Bank,IMUPGB4C,unknown/first-time,2025-03-26,False,False,none,10
BENE000024,ACC000008,Anya Rau,ETTV6065307450544,HDFC Bank,IPWVGBGO,vendor,2024-08-24,False,False,none,24
BENE000025,ACC000008,Charita Savant,YKIX6913736785082,Yes Bank,CJWQGBZI,business_partner,2024-09-09,False,True,none,37
BENE000026,ACC000008,Oscar Hans,GBHB7053457861035,State Bank of India,PTOFGB49,business_partner,2024-11-12,True,True,none,37
BENE000027,ACC000009,Hemangini Gade,IXWC4060293333468,Yes Bank,AYYVGBA4,vendor,2017-08-09,False,False,none,22
BENE000028,ACC000010,Oscar Anand,HITZ4466574374896,HDFC Bank,SDAQGBX9,unknown/first-time,2022-06-06,False,True,none,19
BENE000029,ACC000010,Chanchal Chokshi,PCKI5444328309652,ICICI Bank,XAUPGBSQ,unknown/first-time,2020-11-28,False,True,none,10
BENE000030,ACC000010,Nidhi Rama,XBSW9353875842824,IDFC First Bank,DPEXGBQ9,friend,2020-09-02,True,False,none,27
BENE000031,ACC000010,Gautami Chakraborty,HLHX4655494717099,IDFC First Bank,TCPGGB6H,vendor,2022-08-15,False,True,none,37
BENE000032,ACC000011,Chanchal Sachdev,BEEG5697252175250,IndusInd Bank,AOIGGBKK,employer,2023-12-13,False,True,none,31
BENE000033,ACC000012,Gaurang Dayal,TNUN6676008350583,Axis Bank,AVAUGBPO,friend,2021-10-28,False,True,none,19
BENE000034,ACC000013,Devika Dayal,DMQS4210447898562,Axis Bank,KPLYGBMK,vendor,2025-05-08,False,True,none,34
BENE000035,ACC000013,Anirudh Kari,HXEG0982150648909,Kotak Mahindra Bank,BVDUGBBD,friend,2024-02-06,True,True,high_risk,25
BENE000036,ACC000013,Omaja Sawhney,MDRI7230461849926,Union Bank of India,DQXTGBHS,unknown/first-time,2024-03-12,True,True,none,17
BENE000037,ACC000014,Hitesh Tank,GTGY4835642087375,IDFC First Bank,HAAVGBFH,vendor,2024-06-01,False,True,none,4
BENE000038,ACC000015,Manthan Chana,YQCX1437447012045,Kotak Mahindra Bank,ZVKNGBHG,vendor,2025-12-06,False,True,none,25
BENE000039,ACC000015,Aditya Devi,VUFK5794155216674,Union Bank of India,MWPZGB0K,employer,2025-07-25,False,True,watchlist,40
BENE000040,ACC000015,Kevin Bhargava,FDNS7972965902771,IDFC First Bank,NOBCGBQU,business_partner,2024-06-05,False,False,none,29
BENE000041,ACC000016,Udarsh Nigam,QQWW9163756289002,IDFC First Bank,QPPFGBE5,business_partner,2022-12-21,False,False,watchlist,40
BENE000042,ACC000016,Wridesh Narayanan,IBQH8663177971775,IDFC First Bank,DPXUGBBG,family,2020-11-04,True,False,none,9
BENE000043,ACC000016,Nitara Banik,RRAC9948837550375,Kotak Mahindra Bank,RYTTGB4X,business_partner,2021-06-13,False,False,none,4
BENE000044,ACC000017,Ishaan Chatterjee,YVHA5548851027261,Kotak Mahindra Bank,ITGGGBHZ,business_partner,2022-09-02,False,True,none,38
BENE000045,ACC000017,Tanvi Halder,WKDY6091779827080,IndusInd Bank,RNSPGB6L,family,2021-03-12,True,True,none,15
BENE000046,ACC000018,Kabir Chawla,MVTT5866934654722,Punjab National Bank,NTWXGB6T,employer,2024-08-08,False,False,none,2
BENE000047,ACC000018,Teerth Iyer,GTWJ5228851587996,State Bank of India,VXRJGB1A,friend,2019-07-03,True,True,none,17
BENE000048,ACC000018,Aryan Raj,EBVB3424420438057,IDFC First Bank,DTVXGB9O,family,2017-11-25,False,False,none,3
